Country,year,CO2_kg_per_US
Argentina,1990,0.4901
Argentina,1991,0.4815
Argentina,1992,0.4692
Argentina,1993,0.4575
Argentina,1994,0.4476
Argentina,1995,0.4437
Argentina,1996,0.4446
Argentina,1997,0.4406
Argentina,1998,0.438
Argentina,1999,0.4381
Argentina,2000,0.4378
Argentina,2001,0.4372
Argentina,2002,0.4385
Argentina,2003,0.4398
Argentina,2004,0.4415
Argentina,2005,0.4413
Argentina,2006,0.4405
Argentina,2007,0.4387
Argentina,2008,0.4367
Argentina,2009,0.435
Argentina,2010,0.4324
Argentina,2011,0.43
Argentina,2012,0.4283
Argentina,2013,0.4269
Argentina,2014,0.4257
Argentina,2015,0.4248
Argentina,2016,0.4242
Argentina,2017,0.4227
Argentina,2018,0.4215
Australia,1990,0.4301
Australia,1991,0.4319
Australia,1992,0.4339
Australia,1993,0.4322
Australia,1994,0.4296
Australia,1995,0.4279
Australia,1996,0.4265
Australia,1997,0.4245
Australia,1998,0.4241
Australia,1999,0.4222
Australia,2000,0.4196
Australia,2001,0.4175
Australia,2002,0.4151
Australia,2003,0.4119
Australia,2004,0.4091
Australia,2005,0.4061
Australia,2006,0.403
Australia,2007,0.4001
Australia,2008,0.3967
Australia,2009,0.3937
Australia,2010,0.3901
Australia,2011,0.3863
Australia,2012,0.3821
Australia,2013,0.3775
Australia,2014,0.3724
Australia,2015,0.3677
Australia,2016,0.3633
Australia,2017,0.3591
Australia,2018,0.3547
Brazil,1990,0.1667
Brazil,1991,0.1683
Brazil,1992,0.1701
Brazil,1993,0.1703
Brazil,1994,0.1698
Brazil,1995,0.1707
Brazil,1996,0.1731
Brazil,1997,0.1758
Brazil,1998,0.1786
Brazil,1999,0.1814
Brazil,2000,0.1836
Brazil,2001,0.1856
Brazil,2002,0.1867
Brazil,2003,0.187
Brazil,2004,0.1872
Brazil,2005,0.1871
Brazil,2006,0.1867
Brazil,2007,0.1862
Brazil,2008,0.1858
Brazil,2009,0.1848
Brazil,2010,0.1845
Brazil,2011,0.1843
Brazil,2012,0.1848
Brazil,2013,0.1858
Brazil,2014,0.1871
Brazil,2015,0.188
Brazil,2016,0.1884
Brazil,2017,0.1888
Brazil,2018,0.1885
Canada,1997,0.4435
Canada,1998,0.4411
Canada,1999,0.437
Canada,2000,0.434
Canada,2001,0.4296
Canada,2002,0.4268
Canada,2003,0.4248
Canada,2004,0.4202
Canada,2005,0.4154
Canada,2006,0.409
Canada,2007,0.4032
Canada,2008,0.3968
Canada,2009,0.391
Canada,2010,0.3859
Canada,2011,0.3812
Canada,2012,0.3768
Canada,2013,0.3727
Canada,2014,0.36870000000000003
Canada,2015,0.3649
Canada,2016,0.3611
Canada,2017,0.3575
Canada,2018,0.3542
Chile,1990,0.3861
Chile,1991,0.3664
Chile,1992,0.3544
Chile,1993,0.3451
Chile,1994,0.3427
Chile,1995,0.3407
Chile,1996,0.3438
Chile,1997,0.3499
Chile,1998,0.3532
Chile,1999,0.358
Chile,2000,0.3565
Chile,2001,0.3527
Chile,2002,0.3491
Chile,2003,0.3456
Chile,2004,0.3431
Chile,2005,0.3399
Chile,2006,0.3361
Chile,2007,0.3348
Chile,2008,0.334
Chile,2009,0.3328
Chile,2010,0.3318
Chile,2011,0.3317
