Country,Ano,CO2_kg_per_ppp_US
Argentina,1990,0.42536920351088026
Argentina,1991,0.4107089059340005
Argentina,1992,0.39464704202393147
Argentina,1993,0.37961632837187986
Argentina,1994,0.36660239554083135
Argentina,1995,0.35916559855238844
Argentina,1996,0.35575652095689364
Argentina,1997,0.34856904970201935
Argentina,1998,0.3429399614162638
Argentina,1999,0.33985164480608937
Argentina,2000,0.3363240576360252
Argentina,2001,0.33262860346579204
Argentina,2002,0.33080456494435057
Argentina,2003,0.32873338522947876
Argentina,2004,0.32644960902593434
Argentina,2005,0.3221896510202145
Argentina,2006,0.3171152062245518
Argentina,2007,0.3109972477650992
Argentina,2008,0.3049258622629133
Argentina,2009,0.2998436959197437
Argentina,2010,0.2942510116598062
Argentina,2011,0.2886469402997133
Argentina,2012,0.2833918088753067
Argentina,2013,0.278621024425244
Argentina,2014,0.2743744278192086
Argentina,2015,0.270564672115977
Argentina,2016,0.26675369729455806
Argentina,2017,0.2605004705757447
Argentina,2018,0.254904220048279
Australia,1990,0.8912762056158072
Australia,1991,0.8759279946269017
Australia,1992,0.8648935155317513
Australia,1993,0.8491982233419388
Australia,1994,0.8335253261161768
Australia,1995,0.820755534764582
Australia,1996,0.8080616584561443
Australia,1997,0.7952101438648683
Australia,1998,0.7854344142329998
Australia,1999,0.7740997514346319
Australia,2000,0.7620111527267681
Australia,2001,0.7494819455977358
Australia,2002,0.7363849067286681
Australia,2003,0.7223097179660599
Australia,2004,0.7086327812986997
Australia,2005,0.6946384924578566
Australia,2006,0.6797986400989218
Australia,2007,0.66463401598044
Australia,2008,0.6498469836999263
Australia,2009,0.6331637912511837
Australia,2010,0.6188546909284758
Australia,2011,0.602895257070245
Australia,2012,0.5876001394490464
Australia,2013,0.5703991267482708
Australia,2014,0.5535639376747638
Australia,2015,0.5392957126297245
Australia,2016,0.5259942213723163
Australia,2017,0.5131895207623003
Australia,2018,0.5003147644858457
Brazil,1990,0.1985574896340059
Brazil,1991,0.19714836264132074
Brazil,1992,0.19661886955288566
Brazil,1993,0.1943751073783614
Brazil,1994,0.19140490843733027
Brazil,1995,0.1900204219481363
Brazil,1996,0.19046699730173633
Brazil,1997,0.19132047754964276
Brazil,1998,0.19242312478699286
Brazil,1999,0.19362492117066227
Brazil,2000,0.19405119321203187
Brazil,2001,0.19412273698326263
Brazil,2002,0.19319650751161388
Brazil,2003,0.19150555849223924
Brazil,2004,0.18955396354550866
Brazil,2005,0.18709041186193268
Brazil,2006,0.18410359207365398
Brazil,2007,0.18094540291709957
Brazil,2008,0.17796609688693935
Brazil,2009,0.1747152273500292
Brazil,2010,0.1721611843158423
Brazil,2011,0.16972373133449192
Brazil,2012,0.16835258098014153
Brazil,2013,0.16735445992639966
Brazil,2014,0.16680031782901797
Brazil,2015,0.1663516755813512
Brazil,2016,0.16548048409685615
Brazil,2017,0.1646083482811498
Brazil,2018,0.16310823692683354
Canada,1997,0.6337030066545742
Canada,1998,0.6233562058528336
Canada,1999,0.6097956862345577
Canada,2000,0.5993465146936665
Canada,2001,0.5863993322006014
Canada,2002,0.5779589205005565
Canada,2003,0.5705745633071754
Canada,2004,0.5595271460778564
Canada,2005,0.5470984306765029
Canada,2006,0.5329082754323055
Canada,2007,0.5218439745907771
Canada,2008,0.5096883418611793
Canada,2009,0.4990224971774102
Canada,2010,0.48933557732206806
Canada,2011,0.48008045448702213
Canada,2012,0.47129067061352614
Canada,2013,0.4622562124910925
Canada,2014,0.4533672995940612
Canada,2015,0.44613390640981376
Canada,2016,0.43800728952602075
Canada,2017,0.4299329338291983
Canada,2018,0.42185826185718267
Chile,1990,0.5078144154155805
Chile,1991,0.47324860379027833
Chile,1992,0.44863384322638783
Chile,1993,0.4279425095256477
Chile,1994,0.4163207943279133
Chile,1995,0.4045051359664585
Chile,1996,0.3991920443956945
Chile,1997,0.398615706749112
Chile,1998,0.3959661484265168
Chile,1999,0.395838371006616
Chile,2000,0.38870813697194256
Chile,2001,0.37929815386841437
Chile,2002,0.3705838454435022
Chile,2003,0.3621817567667643
Chile,2004,0.3546387237363651
Chile,2005,0.346068310344382
Chile,2006,0.33205533989531716
Chile,2007,0.3210696677616091
Chile,2008,0.31394965873881475
Chile,2009,0.30744442440541403
Chile,2010,0.2999951665181763
Chile,2011,0.29240400948763384
Chile,2012,0.28495775210330865
Chile,2013,0.278491673802565
Chile,2014,0.27116300212860256
Chile,2015,0.26582320856101455
Chile,2016,0.2611093271657518
Chile,2017,0.25614553724431466
Chile,2018,0.25136187447039304
Germany,1990,0.619417974469333
Germany,1991,0.5865738852476495
Germany,1992,0.5599864368227685
Germany,1993,0.5444435651728903
Germany,1994,0.5290135011587478
Germany,1995,0.5154385151993872
Germany,1996,0.5065095076321203
Germany,1997,0.4961737764685227
Germany,1998,0.4859984744886868
Germany,1999,0.47448225414524403
Germany,2000,0.4634472072184269
Germany,2001,0.4533348082435763
Germany,2002,0.4433016143745204
Germany,2003,0.4341949456291257
Germany,2004,0.42441340166839314
Germany,2005,0.4151070025439724
Germany,2006,0.40537015845941526
Germany,2007,0.3945193737510462
Germany,2008,0.3842295998226777
Germany,2009,0.3748518688238707
Germany,2010,0.3661465234761401
Germany,2011,0.35643472137007887
Germany,2012,0.34771478967120895
