country,year,GDP_constant,population,GDP_kg_per_pop
Argentina,1990,203727000000,32618648,6245721.772404546
Argentina,1991,222333000000,33079002,6721272.909019444
Argentina,1992,239980000000,33529320,7157317.8340628445
Argentina,1993,259676000000,33970103,7644251.181693502
Argentina,1994,274831000000,34402669,7988653.438487577
Argentina,1995,267011000000,34828168,7666524.406336849
Argentina,1996,281768000000,35246376,7994240.31565685
Argentina,1997,304622000000,35657438,8543014.223287718
Argentina,1998,316351000000,36063451,8772066.766433418
Argentina,1999,305641000000,36467218,8381253.541194176
Argentina,2000,303230000000,36870796,8224124.046576048
Argentina,2001,289861000000,37275644,7776150.024396627
Argentina,2002,258282000000,37681743,6854300.768411906
Argentina,2003,281106000000,38087866,7380460.748312862
Argentina,2004,306489000000,38491970,7962413.978811684
Argentina,2005,333618000000,38892924,8577858.532827206
Argentina,2006,360465000000,39289876,9174500.830697456
Argentina,2007,392935000000,39684303,9901522.019928131
Argentina,2008,408877000000,40080159,10201481.486138815
Argentina,2009,384677000000,40482786,9502236.333240503
Argentina,2010,423627000000,40788453,10385954.083622636
Argentina,2011,449062000000,41261490,10883320.015830742
Argentina,2012,444453000000,41733271,10649848.175092721
Argentina,2013,455143000000,42202935,10784629.07852262
Argentina,2014,443707000000,42669500,10398692.274341157
Argentina,2015,455825000000,43131966,10568147.994923301
Argentina,2016,446343000000,43590368,10239486.851774227
Argentina,2017,458923000000,44044811,10419456.675611572
Argentina,2018,447150000000,44494502,10049556.235060234
Australia,1990,612831000000,17065100,35911362.95714646
Australia,1991,610393000000,17284000,35315494.09858829
Australia,1992,612909000000,17495000,35033380.96599028
Australia,1993,637609000000,17667000,36090394.520858094
Australia,1994,663010000000,17855000,37133015.96191543
Australia,1995,688455000000,18072000,38095119.52191235
Australia,1996,715157000000,18311000,39056141.11736115
Australia,1997,743524000000,18517000,40153588.59426473
Australia,1998,777553000000,18711000,41555929.66704078
Australia,1999,817003000000,18926000,43168287.01257529
Australia,2000,849137000000,19153000,44334412.36359839
Australia,2001,865533000000,19413000,44585226.39468397
Australia,2002,900166000000,19651400,45806710.97224625
Australia,2003,927045000000,19895400,46595946.80177327
Australia,2004,964640000000,20127400,47926706.87719228
Australia,2005,995550000000,20394800,48813913.350461885
Australia,2006,1023370000000,20697900,49443180.226013266
Australia,2007,1062710000000,20827600,51024121.83832991
Australia,2008,1101590000000,21249200,51841481.09105284
Australia,2009,1122920000000,21691700,51767265.82056731
Australia,2010,1146140000000,22031750,52022195.24095907
Australia,2011,1174370000000,22340024,52567982.91711772
Australia,2012,1220380000000,22733465,53682093.77672959
Australia,2013,1251920000000,23128129,54129756.886084475
Australia,2014,1283640000000,23475686,54679552.28230604
Australia,2015,1311780000000,23815995,55079789.86391289
Australia,2016,1348130000000,24190907,55728790.98745657
Australia,2017,1379140000000,24601860,56058363.06685755
Australia,2018,1419820000000,24982688,56832155.13078497
Brazil,1990,1189600000000,149003225,7983719.81546037
Brazil,1991,1207590000000,151648007,7963111.575874518
Brazil,1992,1201950000000,154259382,7791746.501357045
Brazil,1993,1258020000000,156849086,8020575.905682995
Brazil,1994,1325130000000,159432717,8311531.1896742
Brazil,1995,1383660000000,162019889,8540062.633915272
Brazil,1996,1414210000000,164614682,8591031.99555432
Brazil,1997,1462220000000,167209046,8744861.80610109
Brazil,1998,1467160000000,169785253,8641268.744347308
Brazil,1999,1474030000000,172318674,8554093.214528797
Brazil,2000,1538710000000,174790339,8803175.32881494
Brazil,2001,1560090000000,177196051,8804315.847874058
Brazil,2002,1607730000000,179537523,8954841.155962702
