country,year,GHG_per_GDP_US,GHG_per_POP
Argentina,2018,0.892,8.217869254947498
Australia,2018,0.592,24.63225734556666
Brazil,2018,0.476,4.929791150322157
Canada,2018,0.454,19.558249524661665
Chile,2018,0.443,5.851301654328869
Germany,2018,0.297,9.722964798763975
European Union,2018,0.309,7.981582847031624
France,2018,0.2,6.309058472684765
United Kingdom,2018,0.284,6.802251881212051
Indonesia,2018,1.131,3.6222886814492243
India,2018,1.615,2.4951090487240077
Italy,2018,0.24,6.613511423699012
Japan,2018,0.229,9.379423389560188
"Korea, Rep.",2018,0.6,13.92999229382006
Mexico,2018,0.585,5.387715245317998
Russian Federation,2018,1.896,17.604081466904905
Saudi Arabia,2018,0.849,18.933762599896504
Turkey,2018,0.472,6.102980941604509
United States,2018,0.475,18.42997549989559
South Africa,2018,1.322,8.88419470201334
